,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
2379,14.0,6.0,2.0,383.4699,1.0,24.0,0.0,EE,24.0,,7.0,3.0,2.0,4,3.0,UpTo4Years,2To5Years,9.0,,3800.0,0.0,0.0,0.0,0.0,0.0,5500.0,9300.0,1.0,1600.0,1.0,0.0,0.0,28.0,True,1.0,185.2758,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2380,15.0,6.0,2.0,223.6908,1.0,21.0,0.0,EE,6.0,,2.0,4.0,3.0,0,3.0,,2To5Years,10.0,,8000.0,0.0,0.0,0.0,0.0,0.0,4500.0,12500.0,1.0,0.0,1.0,0.0,0.0,22.0,False,2.0,639.1164,487.3863,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2381,17.0,6.0,0.0,639.1165,1.0,0.0,0.0,EE,9.0,0.0,110.0,0.0,0.0,empty,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,True,1.0,159.7781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2382,18.0,6.0,2.0,95.8675,1.0,38.0,1.0,EE,6.0,0.0,7.0,3.0,1.0,2,3.0,UpTo5Years,15To25Years,19.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,12000.0,16300.0,0.0,0.0,0.0,0.0,0.0,14.0,True,2.0,204.5199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2383,8.0,7.0,2.0,31.9558,1.0,31.0,0.0,EE,1.0,,2.0,2.0,2.0,1,3.0,UpTo3Years,5To10Years,6.0,,6000.0,0.0,0.0,0.0,0.0,0.0,3300.0,9300.0,0.0,0.0,0.0,0.0,0.0,10.0,False,6.0,658.2898,605.3576,102.2586,2.0,0.0,1.0,0.0,0.0,0.0
2384,11.0,7.0,2.0,511.2932,1.0,28.0,0.0,EE,24.0,,7.0,2.0,1.0,0,3.0,UpTo1Year,5To10Years,1.0,,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,1.0,90.0,1.0,0.0,0.0,28.0,True,1.0,102.3083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2385,13.0,7.0,2.0,115.041,1.0,32.0,1.0,EE,6.0,,7.0,4.0,2.0,3,3.0,UpTo2Years,10To15Years,15.0,,8200.0,0.0,0.0,0.0,0.0,0.0,5000.0,13200.0,0.0,0.0,0.0,0.0,0.0,15.0,False,7.0,1316.5705,904.2497,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2386,15.0,7.0,2.0,639.1165,1.0,25.0,1.0,EE,18.0,,7.0,4.0,1.0,1,3.0,UpTo3Years,2To5Years,1.0,,5800.0,0.0,0.0,0.0,0.0,0.0,3200.0,9000.0,4.0,0.0,4.0,0.0,0.0,11.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2387,18.0,7.0,2.0,159.7791,1.0,24.0,1.0,EE,6.0,,5.0,5.0,2.0,0,3.0,UpTo4Years,5To10Years,11.0,,12240.0,0.0,0.0,0.0,0.0,0.0,2000.0,14240.0,5.0,7295.0,5.0,0.0,0.0,6.0,True,1.0,479.3286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2389,7.0,1.0,2.0,63.9116,1.0,62.0,1.0,EE,12.0,,5.0,4.0,1.0,0,3.0,UpTo4Years,MoreThan25Years,7.0,,5000.0,0.0,0.0,0.0,0.0,0.0,4550.0,9550.0,1.0,400.0,1.0,0.0,0.0,20.0,False,10.0,1048.1894,574.0753,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2390,12.0,1.0,2.0,511.2932,3.0,31.0,0.0,EE,12.0,,7.0,5.0,1.0,0,3.0,UpTo3Years,5To10Years,17.0,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.0,1200.0,1.0,0.0,0.0,5.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2391,12.0,1.0,2.0,166.1703,1.0,27.0,0.0,EE,12.0,,6.0,3.0,1.0,1,3.0,UpTo1Year,LessThan2Years,8.0,,9000.0,0.0,0.0,0.0,0.0,0.0,1000.0,10000.0,3.0,4240.0,3.0,0.0,0.0,11.0,True,1.0,472.8889,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2392,13.0,1.0,2.0,223.6908,1.0,31.0,0.0,EE,6.0,,5.0,4.0,1.0,2,3.0,,5To10Years,3.0,,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.0,0.0,1.0,0.0,0.0,9.0,True,1.0,415.426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2394,22.0,1.0,2.0,191.7349,1.0,24.0,1.0,EE,6.0,,5.0,2.0,3.0,0,3.0,UpTo1Year,5To10Years,9.0,,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1.0,1000.0,1.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2395,11.0,2.0,2.0,95.8675,1.0,28.0,1.0,EE,3.0,,5.0,5.0,2.0,2,3.0,,10To15Years,7.0,,7500.0,0.0,0.0,0.0,0.0,0.0,8000.0,15500.0,2.0,1657.0,2.0,0.0,0.0,11.0,True,1.0,543.2306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2396,18.0,2.0,2.0,319.5582,1.0,29.0,1.0,EE,12.0,,2.0,5.0,3.0,0,2.0,MoreThan5Years,10To15Years,1.0,,10680.0,0.0,0.0,0.0,0.0,0.0,0.0,10680.0,0.0,0.0,0.0,0.0,0.0,11.0,True,1.0,319.5577,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2397,23.0,2.0,2.0,95.8675,1.0,24.0,1.0,EE,6.0,0.0,5.0,2.0,3.0,0,3.0,,5To10Years,9.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1.0,1000.0,1.0,0.0,0.0,1.0,True,1.0,108.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2399,8.0,3.0,2.0,223.6908,1.0,29.0,1.0,EE,9.0,,0.0,4.0,1.0,2,3.0,UpTo4Years,10To15Years,1.0,,5770.0,0.0,0.0,0.0,0.0,0.0,960.0,6730.0,0.0,0.0,0.0,0.0,0.0,15.0,False,1.0,268.4291,128.4043,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2400,21.0,3.0,2.0,639.1165,1.0,32.0,0.0,EE,12.0,,6.0,4.0,2.0,1,3.0,UpTo2Years,15To25Years,3.0,,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,1.0,2500.0,1.0,0.0,0.0,9.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2401,0.0,4.0,2.0,191.7349,1.0,21.0,1.0,EE,12.0,,4.0,5.0,2.0,0,2.0,,2To5Years,18.0,,3000.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2402,10.0,4.0,2.0,127.8233,1.0,22.0,0.0,EE,6.0,0.0,4.0,2.0,3.0,0,2.0,UpTo1Year,2To5Years,10.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,2200.0,7200.0,1.0,275.0,1.0,0.0,0.0,28.0,True,1.0,76.6768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2403,11.0,4.0,2.0,639.1165,1.0,42.0,0.0,EE,24.0,,6.0,4.0,2.0,1,3.0,UpTo1Year,15To25Years,6.0,,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,1.0,4800.0,1.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2404,12.0,4.0,2.0,127.8233,1.0,24.0,1.0,EE,1.0,,2.0,3.0,2.0,2,3.0,UpTo4Years,5To10Years,9.0,,7500.0,0.0,0.0,0.0,0.0,0.0,5000.0,12500.0,1.0,1450.0,1.0,0.0,0.0,27.0,True,2.0,466.538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2405,13.0,4.0,2.0,511.2932,1.0,35.0,1.0,EE,12.0,,2.0,4.0,1.0,3,,,10To15Years,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,6550.0,6550.0,0.0,0.0,0.0,0.0,0.0,22.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2406,13.0,4.0,2.0,319.5582,1.0,31.0,0.0,EE,6.0,,6.0,2.0,2.0,1,3.0,UpTo3Years,10To15Years,1.0,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2407,15.0,4.0,2.0,319.5582,1.0,23.0,0.0,EE,12.0,,1.0,4.0,3.0,0,,,LessThan2Years,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2408,16.0,4.0,2.0,159.7791,1.0,30.0,1.0,EE,3.0,,7.0,4.0,2.0,0,3.0,MoreThan5Years,10To15Years,16.0,,23000.0,0.0,0.0,0.0,0.0,0.0,1000.0,24000.0,1.0,33100.0,1.0,0.0,0.0,7.0,False,8.0,1687.2679,1292.1307,63.9117,1.0,0.0,1.0,0.0,0.0,0.0
2409,0.0,5.0,2.0,287.6024,3.0,38.0,0.0,EE,6.0,,7.0,4.0,3.0,0,2.0,UpTo3Years,15To25Years,7.0,,6800.0,0.0,0.0,0.0,0.0,0.0,2500.0,9300.0,0.0,0.0,0.0,0.0,0.0,17.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2410,10.0,5.0,2.0,447.3815,1.0,32.0,1.0,EE,12.0,,7.0,5.0,3.0,1,3.0,UpTo5Years,5To10Years,16.0,,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2412,17.0,5.0,2.0,511.2932,1.0,27.0,0.0,EE,18.0,,3.0,5.0,2.0,0,3.0,UpTo2Years,10To15Years,9.0,,10090.0,0.0,0.0,0.0,0.0,0.0,6000.0,16090.0,1.0,2450.0,1.0,0.0,0.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2413,23.0,5.0,2.0,351.5141,3.0,38.0,0.0,EE,9.0,,0.0,4.0,3.0,0,2.0,UpTo3Years,15To25Years,7.0,,6800.0,0.0,0.0,0.0,0.0,0.0,3000.0,9800.0,0.0,0.0,0.0,0.0,0.0,27.0,True,1.0,287.6017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2415,23.0,6.0,2.0,479.3374,1.0,30.0,1.0,EE,9.0,,7.0,2.0,2.0,4,3.0,UpTo1Year,2To5Years,7.0,,6500.0,0.0,0.0,0.0,0.0,0.0,3000.0,9500.0,1.0,1365.66,1.0,0.0,0.0,9.0,False,2.0,293.9934,225.4046,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2416,14.0,7.0,2.0,95.8675,1.0,38.0,1.0,EE,3.0,,7.0,3.0,1.0,2,3.0,UpTo5Years,15To25Years,19.0,,4300.0,0.0,0.0,0.0,0.0,0.0,12000.0,16300.0,0.0,0.0,0.0,0.0,0.0,14.0,True,3.0,300.3896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2417,14.0,7.0,2.0,383.4699,1.0,33.0,0.0,EE,12.0,,7.0,4.0,2.0,0,3.0,UpTo2Years,10To15Years,7.0,,11500.0,0.0,0.0,0.0,0.0,0.0,3500.0,15000.0,3.0,2916.0,3.0,0.0,0.0,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2419,12.0,1.0,2.0,268.4289,3.0,31.0,0.0,EE,12.0,,7.0,5.0,1.0,0,3.0,UpTo3Years,5To10Years,17.0,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.0,1200.0,1.0,0.0,0.0,5.0,True,1.0,51.0728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2420,14.0,1.0,2.0,351.5141,1.0,46.0,1.0,EE,3.0,,7.0,5.0,2.0,1,3.0,UpTo4Years,MoreThan25Years,1.0,,9000.0,0.0,0.0,0.0,0.0,0.0,3000.0,12000.0,0.0,0.0,0.0,0.0,0.0,15.0,False,3.0,830.8519,630.5639,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2421,9.0,2.0,2.0,319.5582,1.0,26.0,1.0,EE,18.0,,2.0,5.0,1.0,2,3.0,UpTo2Years,5To10Years,1.0,,6500.0,0.0,0.0,0.0,0.0,0.0,1500.0,8000.0,0.0,0.0,0.0,0.0,0.0,15.0,True,1.0,319.5956,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2422,10.0,2.0,2.0,44.7382,1.0,24.0,1.0,EE,1.0,,8.0,4.0,2.0,2,3.0,UpTo4Years,5To10Years,9.0,,7500.0,0.0,0.0,0.0,0.0,0.0,5000.0,12500.0,1.0,1450.0,1.0,0.0,0.0,15.0,True,3.0,594.3613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2423,10.0,2.0,2.0,255.6466,1.0,26.0,1.0,EE,9.0,,7.0,3.0,1.0,2,3.0,,2To5Years,1.0,,6000.0,0.0,0.0,0.0,0.0,0.0,1500.0,7500.0,0.0,0.0,0.0,0.0,0.0,26.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2424,11.0,2.0,2.0,178.9526,1.0,49.0,0.0,EE,9.0,,8.0,5.0,4.0,0,3.0,MoreThan5Years,MoreThan25Years,10.0,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,2.0,2600.0,2.0,0.0,0.0,22.0,False,5.0,734.9843,295.6853,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2425,16.0,2.0,2.0,95.8675,1.0,41.0,1.0,EE,1.0,,7.0,5.0,1.0,0,3.0,UpTo3Years,15To25Years,19.0,,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,21.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2426,16.0,2.0,2.0,223.6908,1.0,54.0,0.0,EE,12.0,,2.0,4.0,1.0,0,,,MoreThan25Years,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,3325.0,3325.0,1.0,0.0,1.0,0.0,0.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2427,17.0,2.0,2.0,639.1165,1.0,26.0,0.0,EE,6.0,,2.0,4.0,2.0,1,3.0,UpTo3Years,5To10Years,3.0,,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,1.0,0.0,1.0,0.0,0.0,10.0,True,1.0,127.8233,129.7937,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2428,20.0,2.0,2.0,319.5582,1.0,32.0,1.0,EE,12.0,,1.0,4.0,1.0,3,3.0,MoreThan5Years,10To15Years,15.0,,8600.0,0.0,0.0,0.0,0.0,0.0,3400.0,12000.0,2.0,2020.0,2.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2430,10.0,3.0,2.0,575.2048,1.0,34.0,0.0,EE,9.0,,7.0,4.0,2.0,2,3.0,MoreThan5Years,10To15Years,14.0,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1.0,1950.0,1.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2431,11.0,3.0,2.0,89.4763,1.0,24.0,1.0,EE,24.0,,7.0,4.0,1.0,2,3.0,UpTo1Year,LessThan2Years,3.0,,5000.0,0.0,0.0,0.0,0.0,0.0,1500.0,6500.0,1.0,720.0,1.0,0.0,0.0,12.0,False,4.0,683.8238,223.0644,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2432,12.0,3.0,2.0,639.1165,1.0,29.0,1.0,EE,24.0,,1.0,5.0,3.0,0,3.0,UpTo2Years,5To10Years,13.0,,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,1.0,1320.0,1.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2433,20.0,3.0,2.0,236.4731,1.0,46.0,1.0,EE,18.0,,2.0,4.0,4.0,0,3.0,MoreThan5Years,MoreThan25Years,15.0,,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,5.0,False,2.0,575.2516,219.866,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2435,13.0,4.0,2.0,44.7382,1.0,49.0,0.0,EE,6.0,,8.0,5.0,4.0,0,3.0,MoreThan5Years,MoreThan25Years,10.0,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,2.0,3000.0,2.0,0.0,0.0,20.0,False,6.0,913.9275,339.9793,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2436,14.0,4.0,2.0,319.5582,1.0,25.0,0.0,EE,3.0,,1.0,5.0,2.0,0,3.0,UpTo1Year,5To10Years,10.0,,14000.0,0.0,0.0,0.0,0.0,0.0,200.0,14200.0,1.0,505.0,1.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2437,14.0,4.0,2.0,319.5582,1.0,26.0,1.0,EE,12.0,,2.0,3.0,1.0,2,3.0,,2To5Years,1.0,,6000.0,0.0,0.0,0.0,0.0,0.0,1500.0,7500.0,0.0,0.0,0.0,0.0,0.0,28.0,True,1.0,255.6212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2438,17.0,4.0,2.0,639.1165,1.0,50.0,1.0,EE,18.0,,7.0,4.0,1.0,0,3.0,,15To25Years,17.0,,9000.0,0.0,0.0,0.0,0.0,0.0,4600.0,13600.0,3.0,4806.0,3.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2439,17.0,4.0,2.0,95.8675,1.0,41.0,0.0,EE,6.0,,7.0,3.0,1.0,5,3.0,UpTo5Years,15To25Years,19.0,,9500.0,0.0,0.0,0.0,0.0,0.0,3300.0,12800.0,0.0,0.0,0.0,0.0,0.0,14.0,True,2.0,198.1258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2441,23.0,4.0,2.0,639.1165,1.0,27.0,0.0,EE,1.0,,7.0,5.0,3.0,0,3.0,UpTo4Years,5To10Years,11.0,,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,5.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2442,3.0,5.0,2.0,262.0378,1.0,22.0,0.0,EE,12.0,,3.0,4.0,3.0,0,4.0,,2To5Years,10.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,1850.0,1.0,0.0,0.0,20.0,False,2.0,734.9845,394.0872,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2443,10.0,5.0,2.0,223.6908,1.0,33.0,0.0,EE,12.0,,7.0,4.0,2.0,0,3.0,UpTo2Years,10To15Years,7.0,,11500.0,0.0,0.0,0.0,0.0,0.0,3500.0,15000.0,4.0,3555.0,4.0,0.0,0.0,12.0,True,1.0,383.4613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2444,10.0,5.0,0.0,639.1165,1.0,0.0,0.0,EE,12.0,0.0,102.0,0.0,0.0,empty,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5500.0,1.0,0.0,0.0,28.0,True,8.0,1840.6081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2445,19.0,5.0,2.0,383.4699,1.0,53.0,1.0,EE,12.0,,2.0,4.0,5.0,0,3.0,,MoreThan25Years,7.0,,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2446,7.0,6.0,2.0,511.2932,1.0,40.0,0.0,EE,6.0,,3.0,5.0,1.0,2,3.0,,10To15Years,16.0,,13500.0,0.0,0.0,0.0,0.0,0.0,2000.0,15500.0,1.0,2500.0,1.0,0.0,0.0,5.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2447,12.0,6.0,2.0,325.9494,1.0,40.0,0.0,EE,24.0,,7.0,5.0,3.0,0,3.0,,15To25Years,15.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,3.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2448,11.0,7.0,2.0,262.0378,1.0,24.0,0.0,EE,24.0,,7.0,1.0,1.0,2,,UpTo2Years,2To5Years,1.0,,3909.0,0.0,0.0,0.0,0.0,0.0,3000.0,6909.0,1.0,437.0,1.0,0.0,0.0,9.0,True,7.0,377.0872,13.8215,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2449,13.0,7.0,2.0,223.6908,1.0,22.0,0.0,EE,9.0,0.0,2.0,3.0,3.0,0,3.0,UpTo2Years,LessThan2Years,6.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,1000.0,7000.0,1.0,350.0,1.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2450,15.0,7.0,2.0,447.3815,1.0,25.0,0.0,EE,9.0,,7.0,5.0,2.0,1,3.0,UpTo3Years,2To5Years,10.0,,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2451,16.0,7.0,2.0,319.5582,1.0,56.0,1.0,EE,24.0,,3.0,5.0,2.0,0,5.0,,MoreThan25Years,3.0,,6000.0,0.0,0.0,0.0,0.0,0.0,1000.0,7000.0,1.0,2000.0,1.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2452,18.0,7.0,2.0,447.3815,1.0,24.0,1.0,EE,18.0,,2.0,4.0,2.0,2,3.0,UpTo1Year,2To5Years,1.0,,4000.0,0.0,0.0,0.0,0.0,0.0,3000.0,7000.0,0.0,0.0,0.0,0.0,0.0,15.0,False,2.0,453.7732,328.2294,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2453,8.0,1.0,2.0,255.6466,1.0,30.0,1.0,EE,3.0,,7.0,2.0,2.0,4,3.0,UpTo1Year,2To5Years,7.0,,6500.0,0.0,0.0,0.0,0.0,0.0,3000.0,9500.0,1.0,82.2,1.0,0.0,0.0,9.0,False,3.0,332.3395,312.679,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2454,11.0,1.0,2.0,255.6466,1.0,30.0,1.0,EE,3.0,,6.0,4.0,2.0,0,3.0,MoreThan5Years,10To15Years,16.0,,19000.0,0.0,0.0,0.0,0.0,0.0,1000.0,20000.0,0.0,0.0,0.0,0.0,0.0,7.0,False,9.0,1847.0468,1548.6586,63.9117,1.0,0.0,1.0,0.0,0.0,0.0
2455,15.0,1.0,2.0,287.6024,1.0,34.0,0.0,EE,12.0,,7.0,4.0,1.0,3,5.0,UpTo3Years,10To15Years,6.0,,3840.0,0.0,0.0,0.0,0.0,0.0,15000.0,18840.0,1.0,2800.0,1.0,0.0,0.0,14.0,False,2.0,639.1171,406.5239,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2456,20.0,1.0,2.0,639.1165,1.0,27.0,0.0,EE,12.0,,2.0,3.0,3.0,0,3.0,,5To10Years,1.0,,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1.0,0.0,1.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2457,21.0,1.0,2.0,639.1165,1.0,23.0,0.0,EE,12.0,,1.0,4.0,2.0,0,3.0,UpTo3Years,2To5Years,7.0,,10200.0,0.0,0.0,0.0,0.0,0.0,1500.0,11700.0,0.0,0.0,0.0,0.0,0.0,13.0,False,3.0,492.1201,511.9496,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2458,23.0,1.0,2.0,383.4699,1.0,22.0,0.0,EE,12.0,,4.0,3.0,2.0,0,5.0,UpTo3Years,5To10Years,10.0,,8300.0,0.0,0.0,0.0,0.0,0.0,2100.0,10400.0,1.0,500.0,1.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2459,0.0,2.0,2.0,95.8675,3.0,21.0,0.0,EE,3.0,,7.0,4.0,3.0,0,3.0,,2To5Years,16.0,,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,13.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2460,20.0,3.0,2.0,255.6466,1.0,53.0,1.0,EE,6.0,,2.0,4.0,5.0,0,3.0,,MoreThan25Years,7.0,,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,25.0,True,1.0,70.2859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2461,11.0,2.0,2.0,639.1165,1.0,27.0,1.0,EE,24.0,,8.0,4.0,2.0,1,3.0,UpTo4Years,5To10Years,1.0,,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.0,1.0,1475.0,1.0,0.0,0.0,11.0,True,0.0,0.0,0.0,293.9935,1.0,0.0,1.0,0.0,0.0,0.0
2462,13.0,2.0,2.0,319.5582,1.0,28.0,0.0,EE,24.0,,7.0,2.0,1.0,0,3.0,UpTo1Year,5To10Years,7.0,,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,1.0,170.0,1.0,0.0,0.0,28.0,True,2.0,159.8179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2464,16.0,2.0,2.0,191.7349,1.0,38.0,1.0,EE,6.0,,8.0,4.0,3.0,0,,,LessThan2Years,18.0,,3000.0,0.0,0.0,0.0,0.0,0.0,2000.0,5000.0,0.0,0.0,0.0,0.0,0.0,6.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
