,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
1338,8.0,2.0,2.0,319.5582,1.0,39.0,1.0,EE,24.0,,8.0,4.0,1.0,1,3.0,UpTo1Year,15To25Years,,,7600.0,0.0,0.0,0.0,0.0,0.0,2000.0,9600.0,0.0,0.0,0.0,0.0,0.0,11.0,True,1.0,185.3384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1339,11.0,2.0,2.0,127.8233,1.0,34.0,1.0,EE,1.0,,4.0,2.0,2.0,3,3.0,UpTo5Years,2To5Years,,,4000.0,0.0,0.0,0.0,0.0,0.0,900.0,4900.0,0.0,0.0,0.0,0.0,0.0,25.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1340,13.0,2.0,2.0,319.5582,1.0,20.0,0.0,EE,2.0,,7.0,3.0,3.0,0,3.0,UpTo1Year,LessThan2Years,,,7500.0,0.0,0.0,0.0,0.0,0.0,3700.0,11200.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1341,22.0,3.0,2.0,127.8233,1.0,30.0,0.0,EE,3.0,,2.0,4.0,3.0,0,3.0,,10To15Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,11.0,True,1.0,70.3028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1342,9.0,4.0,2.0,639.1165,1.0,55.0,1.0,EE,13.0,,2.0,3.0,2.0,0,3.0,,MoreThan25Years,,,6000.0,0.0,0.0,0.0,0.0,0.0,2000.0,8000.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,252.4485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1343,13.0,5.0,2.0,127.8233,1.0,30.0,0.0,EE,4.0,,2.0,4.0,3.0,0,3.0,,10To15Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,11.0,True,2.0,198.1261,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1344,20.0,5.0,2.0,319.5582,1.0,43.0,1.0,EE,24.0,,0.0,4.0,1.0,5,5.0,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1345,10.0,5.0,3.0,5000.0,4.0,22.0,1.0,FI,12.0,560.58,4.0,3.0,2.0,1,3.0,UpTo2Years,2To5Years,7.0,5.0,1626.0,0.0,94.0,0.0,0.0,0.0,0.0,1720.0,10.0,1098.0,0.0,66.43,61.42,10.0,False,0.0,0.0,0.0,5195.0,2.0,1.0,1.0,0.0,0.0,0.0
1346,11.0,7.0,2.0,958.6747,1.0,39.0,1.0,EE,24.0,,8.0,4.0,1.0,1,3.0,UpTo1Year,15To25Years,,,7600.0,0.0,0.0,0.0,0.0,0.0,2000.0,9600.0,0.0,0.0,0.0,0.0,0.0,11.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1347,7.0,5.0,2.0,319.5582,1.0,43.0,1.0,EE,24.0,,0.0,4.0,1.0,5,5.0,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,0.0,0.0,0.0,15.0,True,2.0,466.5347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1348,19.0,5.0,2.0,159.7791,1.0,42.0,1.0,EE,3.0,,7.0,4.0,4.0,0,2.0,UpTo3Years,10To15Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,4550.0,11550.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1349,22.0,5.0,2.0,319.5582,2.0,35.0,0.0,EE,3.0,,7.0,5.0,4.0,0,3.0,UpTo5Years,15To25Years,,,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1350,12.0,7.0,2.0,319.5582,1.0,19.0,0.0,EE,2.0,0.0,8.0,2.0,2.0,0,3.0,UpTo2Years,2To5Years,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,5000.0,12000.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1351,15.0,7.0,2.0,191.7349,1.0,19.0,1.0,EE,6.0,,4.0,2.0,3.0,0,,,LessThan2Years,,,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1352,21.0,1.0,2.0,766.9398,1.0,26.0,0.0,EE,9.0,,0.0,4.0,2.0,0,3.0,UpTo5Years,5To10Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,1400.0,12900.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1353,8.0,2.0,2.0,639.1165,1.0,39.0,1.0,EE,24.0,,8.0,4.0,1.0,1,3.0,UpTo1Year,15To25Years,,,7600.0,0.0,0.0,0.0,0.0,0.0,2400.0,10000.0,0.0,0.0,0.0,0.0,0.0,11.0,True,2.0,357.9162,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1354,18.0,2.0,2.0,31.9558,1.0,23.0,0.0,EE,1.0,,8.0,3.0,3.0,0,2.0,,2To5Years,,,3400.0,0.0,0.0,0.0,0.0,0.0,600.0,4000.0,0.0,0.0,0.0,0.0,0.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
