,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,DEFAULT,NrDependantsGiven
1160,IncomeExpensesVerified,1800.0,Estonian,28,Male,EE,60,55.38,Travel,Business,Single,0,Fully employed,UpTo3Years,5To10Years,Other,Living with Parents,414.0,158.0,0.0,0.0,0.0,0.0,0.0,572.0,5,495.69,0,52.63,20.93,0,2.0,3000.0,2400.7,0.0,0.0,0,0
1161,IncomeExpensesVerified,1400.0,Finnish,48,Male,FI,60,48.96,Other,Business,Single,0,Retiree,MoreThan5Years,10To15Years,Healthcare,"Tenant, Pre-furnished Property",0.0,1036.0,0.0,0.0,0.0,0.0,0.0,1036.0,3,583.54,0,12.79,403.5,0,1.0,1600.0,181.87,1400.0,1.0,1,0
1163,IncomeExpensesVerified,1000.0,Estonian,62,Female,EE,60,31.67,Other,Travel,Cohabitant,0,Fully employed,MoreThan5Years,MoreThan25Years,Education,Owner,830.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,9,955.0,1,52.61,143.33,1,0.0,0.0,0.0,0.0,0.0,0,0
1164,IncomeExpensesVerified,6000.0,Spanish,25,Male,ES,36,278.4,Real estate,EducationLoan,Single,0,Fully employed,MoreThan5Years,5To10Years,CivilService,Living with Parents,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,3,1415.0,1,49.13,396.6,1,0.0,0.0,0.0,6000.0,1.0,1,0
1165,IncomeUnverified,3500.0,Russian,28,Male,EE,60,129.04,Other,Business,Single,0,Fully employed,UpTo3Years,5To10Years,Transport and warehousing,Living with Parents,734.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,9,1615.89,4,53.12,94.07,0,2.0,3500.0,3099.49,18890.0,3.0,0,0
1166,IncomeExpensesVerified,1000.0,Estonian,31,Female,EE,60,28.62,Home improvement,EducationLoan,Single,2,Fully employed,MoreThan5Years,10To15Years,Processing,Owner,688.0,0.0,76.0,0.0,0.0,0.0,390.0,1154.0,6,714.81,0,34.44,410.57,0,2.0,4000.0,3243.45,1000.0,1.0,0,0
1167,IncomeVerified,700.0,Estonian,26,Female,EE,60,23.32,EducationLoan,EducationLoan,Cohabitant,1,Fully employed,UpTo2Years,LessThan2Years,Retail and wholesale,Owner,721.0,0.0,0.0,0.0,45.0,0.0,0.0,766.0,2,299.0,0,9.44,443.68,1,0.0,0.0,0.0,590.0,1.0,0,0
1168,IncomeVerified,2655.0,Estonian,28,Male,EE,60,127.43,Home improvement,Business,Cohabitant,1,Fully employed,UpTo1Year,LessThan2Years,Processing,Owner,476.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,2,365.0,1,26.77,98.57,1,0.0,0.0,0.0,4500.0,1.0,0,0
1169,IncomeExpensesVerified,2655.0,Estonian,66,Male,EE,60,77.06,Home improvement,Home improvement,Married,0,Retiree,UpTo3Years,MoreThan25Years,Other,Joint Ownership,0.0,333.0,0.0,0.0,0.0,0.0,0.0,333.0,4,325.0,3,23.14,5.94,1,0.0,0.0,0.0,0.0,0.0,0,0
1172,IncomeExpensesVerified,7440.0,Estonian,24,Male,EE,60,251.24,Other,Home improvement,Cohabitant,0,Fully employed,UpTo2Years,LessThan2Years,Processing,Living with Parents,532.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,5,524.0,4,47.23,30.76,1,0.0,0.0,0.0,0.0,0.0,0,0
1173,IncomeExpensesVerified,3500.0,Estonian,53,Female,EE,36,131.79,Home improvement,Travel,Divorced,0,Fully employed,MoreThan5Years,5To10Years,Retail and wholesale,Mortgage,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.0,7,1973.0,1,48.55,416.21,0,1.0,2500.0,3205.69,3500.0,1.0,0,0
1174,IncomeExpensesVerified,8505.0,Estonian,42,Male,EE,60,303.6,Loan consolidation,EducationLoan,Divorced,1,Partially employed,MoreThan5Years,5To10Years,Retail and wholesale,Owner,1193.0,0.0,50.0,0.0,0.0,0.0,0.0,1243.0,6,1164.0,1,65.62,55.4,1,0.0,0.0,0.0,0.0,0.0,1,0
1178,IncomeUnverified,800.0,Estonian,23,Male,EE,60,35.55,EducationLoan,EducationLoan,Cohabitant,1,Fully employed,UpTo3Years,2To5Years,Processing,Owner,605.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,3,352.0,0,22.74,217.45,0,2.0,2800.0,879.29,800.0,1.0,0,0
